px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
7.60112	-5.2652	-2.65925	2.37069	0.626498	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	0
7.69423	-5.38126	-2.65038	2.38973	0.610771	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	0.879772
7.76035	-5.53039	-2.66113	2.37614	0.565002	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	0
7.84075	-5.63602	-2.61152	2.39019	0.547347	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	1.36839
7.892	-5.79505	-2.61916	2.3607	0.489664	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	0
8.01337	-5.92904	-2.81564	2.38045	0.490511	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	9.42727
8.07244	-6.08344	-2.82935	2.35284	0.439769	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	0
8.16773	-6.20045	-2.78663	2.36386	0.425322	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	1.34472
8.2448	-6.34793	-2.79448	2.34962	0.38868	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	0
8.32793	-6.45668	-2.7373	2.35702	0.373876	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	1.30865
8.386	-6.61703	-2.74346	2.32519	0.323088	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	0
8.47663	-6.73234	-2.7373	2.3331	0.313551	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993	0.551707
8.54495	-6.87673	-2.739	2.31405	0.278539	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	0
8.61928	-6.97836	-2.70541	2.31724	0.267448	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	0.73894
8.66735	-7.12586	-2.71261	2.28431	0.222845	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	0
8.78067	-7.25762	-2.86189	2.29728	0.22917	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	5.73398
8.83574	-7.41356	-2.87468	2.26413	0.186134	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	0
8.89978	-7.52502	-2.73322	2.25485	0.162217	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	5.81097
8.95559	-7.6772	-2.73595	2.22641	0.126224	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	0
9.03611	-7.79483	-2.75942	2.22759	0.122169	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	0.415113
9.07778	-7.94483	-2.76619	2.19249	0.0825705	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	0
9.11729	-8.04846	-2.60227	2.17347	0.053275	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	6.79842
9.16328	-8.19288	-2.60294	2.14578	0.0239592	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	0
9.24248	-8.31694	-2.66226	2.14758	0.027125	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	0.9716
9.27282	-8.46541	-2.67105	2.10983	-0.0101252	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117	0
9.31469	-8.58155	-2.55729	2.08812	-0.0365822	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819	3.69791
9.34967	-8.72714	-2.55959	2.05714	-0.0640987	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	0
9.48848	-8.89154	-2.90418	2.10107	0.00133019	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928	31.6978
9.52781	-9.05405	-2.92492	2.06661	-0.0313393	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928	0
9.5678	-9.17287	-2.82615	2.04498	-0.0569109	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917	2.94476
9.60846	-9.31625	-2.83247	2.0218	-0.0762447	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917	0
9.6437	-9.43437	-2.75837	2.00111	-0.0972691	9.47534	-9.42627	9.55	-9.5	0	-3.00023	1.74345
9.66084	-9.58936	-2.77114	1.96215	-0.129621	9.54779	-9.64959	9.55	-9.65	0	-3.0002	0
9.72593	-9.73072	-2.82954	1.96293	-0.118497	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997	1.03578
9.74489	-9.88597	-2.84153	1.92821	-0.145753	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997	0
9.7617	-10.0164	-2.73121	1.89365	-0.180205	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969	3.79806
9.79362	-10.1595	-2.72529	1.87474	-0.188785	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969	0
9.83392	-10.2948	-2.72361	1.86245	-0.192597	9.92627	-10.4745	9.75	-10.3	0	-3.00065	0.496993
9.84238	-10.4431	-2.73448	1.82947	-0.214516	9.75524	-10.4732	9.75	-10.45	0	-3.00063	0
9.88462	-10.5912	-2.76797	1.82443	-0.203967	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451	0.901903
9.9042	-10.7465	-2.77197	1.80035	-0.216017	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448	0
9.91333	-10.8844	-2.69599	1.76698	-0.244735	9.88465	-10.9383	9.85	-10.9	0	-2.73074	2.02649
