px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0	0	0	0	0	0	0	0	0	0	0	0
0.0273181	-0.027226	0	0	0	0	0	0	0	0	0	1.76426
1.50844	-0.102169	1.32069	-1.38778e-17	2.77556e-17	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	0
1.59026	0.0226425	1.85503	-0.0409738	-0.0231335	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	3.27021
3.87801	-0.12898	2.38786	-0.174607	-0.115876	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	0
3.94935	0.0723668	2.73361	0.178122	0.0799409	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	4.401
6.85061	0.414642	3.52719	0.177441	0.0933229	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	0
6.76371	0.440397	3.02113	0.23295	0.172579	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	1.8661
9.07007	0.597042	3.12	-0.284614	-0.330999	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0
9.03597	0.665247	3.10451	-0.217648	-0.284002	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	1.16569
11.5668	1.65869	2.92519	0.563616	0.306383	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	0
11.5417	1.62197	2.91618	0.541295	0.294137	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0.517133
13.5952	2.32304	2.50639	0.335023	-0.0207649	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	0
13.613	2.29193	2.65667	0.304065	-0.0613767	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	0.673412
16.6129	2.90045	3.46503	-0.00360446	-0.219607	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	0
16.542	2.88325	3.08804	-0.0354435	-0.278977	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	1.242
19.0104	3.69547	2.944	0.390912	0.168627	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0
19.0776	3.71925	2.79546	0.446947	0.228311	19.363	3.87122	18.923	3.74161	2.61382	0.95648	1.40233
21.3224	4.73214	2.96638	0.424787	0.0660492	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0
21.3794	4.74204	3.02873	0.40893	0.0539525	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	0.782968
24.0629	5.56818	3.37009	0.179144	-0.127731	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0
24.1645	5.59908	3.32842	0.158213	-0.146127	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	2.99608
26.6075	6.95268	3.27147	0.637088	0.252175	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	0
26.5942	6.94641	3.34465	0.618028	0.223927	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.0664068
29.5668	8.08512	3.6008	0.242327	-0.167543	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	0
29.5468	8.07616	3.31308	0.230364	-0.184999	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.31266
31.9438	9.86916	3.30732	0.838764	0.324566	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	0
31.8994	9.84622	3.34923	0.810288	0.286482	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0.6732
34.6124	10.7174	2.56905	0.199901	-0.296973	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	0
34.7168	10.7708	3.02257	0.204972	-0.258677	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	2.81275
37.1377	12.0775	3.09292	0.624006	0.176618	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	0
37.216	12.1016	3.29818	0.60668	0.141298	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	1.54331
40.3015	13.458	3.88933	0.246364	-0.18726	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	0
40.2284	13.4273	3.34685	0.207399	-0.249726	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	1.63382
42.7673	14.8203	3.32127	0.598919	0.163972	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0
42.7429	14.8135	3.36957	0.585317	0.146293	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0.187637
45.3435	16.5466	3.72285	0.561629	0.0343777	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0
45.3846	16.5606	3.47403	0.586718	0.10273	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	0.938156
48.1506	17.2897	3.32336	0.135162	-0.252037	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	0
48.1245	17.2785	3.07582	0.105559	-0.302144	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	0.285303
50.6184	19.0557	3.01319	0.877705	0.392064	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	0
50.6001	19.036	3.24348	0.779509	0.24982	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	0.36751
53.7079	19.9053	3.05719	0.0407384	-0.402433	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	0
53.6743	19.8936	3.01651	0.0488512	-0.39663	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	0.304372
56.0381	21.0769	2.66806	0.52285	0.166224	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	0
56.0101	21.0598	2.79696	0.480221	0.119054	55.867	20.985	55.9669	20.9874	2.56561	0.978022	0.408175
58.6473	21.7836	3.09609	0.103085	-0.203576	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205	0
58.6478	21.7849	3.08631	0.101701	-0.206156	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205	0.0128762
60.8783	22.7795	2.81266	0.468035	0.161264	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031	0
60.8519	22.7678	2.83214	0.454979	0.149102	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031	0.223646
63.3718	23.4103	2.9981	0.130163	-0.155916	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987	0
63.4553	23.4377	2.82242	0.0803625	-0.217793	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987	2.08099
66.3162	23.9872	3.39724	0.302707	0.0676732	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	0
66.2165	23.9594	2.63427	0.311063	0.0536334	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	2.70286
68.2623	24.3614	2.61187	0.19004	-0.057244	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	0
68.3493	24.3929	2.69182	0.194389	-0.0534942	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	1.98932
70.8158	24.8799	3.00842	0.243947	0.0123706	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0
70.7796	24.8658	2.52092	0.227386	-0.0242335	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0.62173
72.891	24.7197	2.55541	-0.16793	-0.257567	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	0
72.9408	24.7366	2.56498	-0.169791	-0.268028	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0.683545
75.0019	25.2455	2.19713	0.323874	0.207758	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	0
74.9898	25.2418	2.1672	0.320636	0.205839	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0.0352623
77.1123	24.9455	2.2944	-0.402212	-0.376875	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	0
77.1366	24.9531	2.28988	-0.41477	-0.39446	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	0.178118
79.1002	25.0158	1.81759	0.0783573	0.174208	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	0
79.1156	25.016	1.88228	0.0910329	0.191162	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.044859
80.8018	24.8743	2.0551	-0.0312171	-0.00489176	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0
80.8501	24.8815	1.83237	-0.0876219	-0.0988144	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	1.22019
82.6034	24.6368	2.27924	-0.0844557	-0.0327918	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0
82.5687	24.6226	1.9531	-0.187739	-0.213066	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0.591747
84.1652	24.5432	2.01677	0.00242704	0.0329804	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0
84.1579	24.5458	1.82708	-0.0301092	-0.0371775	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0.26217
85.6374	23.8178	1.9349	-0.538697	-0.323527	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	0
85.6943	23.8331	2.00565	-0.52094	-0.313928	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	0.853072
86.9521	23.507	1.27796	-0.307242	-0.0033976	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	0
87.0707	23.541	1.39217	-0.244349	0.0357703	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	3.71772
88.7838	22.7935	2.45452	-0.404944	-0.082412	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	0
88.7019	22.7551	2.22119	-0.642525	-0.394884	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	1.34332
89.5304	22.2729	0.748516	-0.712806	-0.233329	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	0
89.6214	22.2718	1.03975	-0.556132	0.0223513	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	1.68332
90.4982	21.6678	1.37848	-0.445541	0.0796688	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	0
90.5708	21.685	1.43621	-0.397967	0.0851935	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	1.73923
91.7093	21.1155	1.6415	-0.288777	0.101417	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	0
91.7426	21.1242	1.47167	-0.427223	-0.149663	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	2.51625
92.8528	20.9415	1.38899	-0.0833555	0.145313	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	0
92.9049	20.9705	1.19443	-0.0630958	0.0866432	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	2.72928
93.4922	20.2431	0.720031	-0.801659	-0.404408	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	0
93.5755	20.2865	1.07365	-0.552691	-0.0949215	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	1.69262
95.2516	19.6516	2.53823	0.113829	0.371461	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	0
95.0294	19.6593	1.56903	-0.0207726	0.211742	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	9.23499
95.5289	19.7021	0.900646	0.203335	0.218787	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	0
95.5376	19.7038	0.871822	0.204616	0.21896	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	0.0331005
96.2566	19.2085	0.779671	-0.810132	-0.497255	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	0
96.3064	19.2417	1.02856	-0.612195	-0.291983	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	0.812928
97.4816	18.7186	1.82289	-0.158107	0.145941	97.5286	18.727	97.45	18.506	0.868716	-0.503009	0
97.4059	18.7225	1.46009	-0.316756	-0.105433	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	1.44658
98.2179	18.3698	1.21997	-0.304564	-0.0417053	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	0
98.2268	18.3744	1.09857	-0.358596	-0.136798	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	0.430539
99.0317	17.3769	1.51393	-1.09688	-0.481603	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	0
99.0433	17.413	1.49486	-0.748021	-0.0492783	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	0.740155
